episode,reward,waiting,queue,arrived,epsilon,phase_counts,phases_used,dominant_phase,dominant_pct
139,5033.009937499995,5859.191944444445,43.2875,1315.0,0.7570860412104812,"{""0"": 69, ""1"": 69}",2,0,50.0
140,5379.032500000008,5885.247222222222,43.4775,1386.0,0.7555718691280602,"{""0"": 71, ""1"": 71}",2,0,50.0
141,4939.439874999997,5817.767222222222,43.175,1294.0,0.7540607253898041,"{""0"": 72, ""1"": 71}",2,0,50.3
142,4933.702062499999,5801.990833333333,42.93333333333333,1292.0,0.7525526039390245,"{""0"": 67, ""1"": 66}",2,0,50.4
143,5047.132687500004,5811.396388888889,43.048611111111114,1317.0,0.7510474987311464,"{""0"": 75, ""1"": 74}",2,0,50.3
144,4789.990499999995,5924.583888888889,43.826388888888886,1270.0,0.7495454037336841,"{""0"": 68, ""1"": 68}",2,0,50.0
145,5219.830874999997,6002.318333333334,44.318333333333335,1359.0,0.7480463129262167,"{""0"": 68, ""1"": 68}",2,0,50.0
146,5220.93937500001,5922.027777777777,44.049166666666665,1356.0,0.7465502203003642,"{""0"": 72, ""1"": 72}",2,0,50.0
147,5245.899999999998,5917.319444444444,44.21527777777778,1360.0,0.7450571198597635,"{""0"": 68, ""1"": 68}",2,0,50.0
148,5201.945000000003,5844.219444444445,43.23861111111111,1348.0,0.743567005620044,"{""0"": 72, ""1"": 71}",2,0,50.3
149,5061.586562499998,5911.4430555555555,43.81722222222222,1322.0,0.7420798716088038,"{""0"": 67, ""1"": 67}",2,0,50.0
150,4944.734562499999,5940.538055555556,44.0725,1301.0,0.7405957118655863,"{""0"": 67, ""1"": 67}",2,0,50.0
151,5195.149249999993,5863.511666666666,43.41583333333333,1347.0,0.7391145204418551,"{""0"": 69, ""1"": 69}",2,0,50.0
152,5016.045749999993,5776.288333333333,42.5925,1308.0,0.7376362914009714,"{""0"": 78, ""1"": 77}",2,0,50.3
153,5233.6839375000145,5885.9575,43.7475,1356.0,0.7361610188181695,"{""0"": 70, ""1"": 70}",2,0,50.0
